sample,strain,infec_status,time_point,group
Cb175_I_3h_A,Cb175,I,3h,Cb175_I_3h
Cb175_I_3h_B,Cb175,I,3h,Cb175_I_3h
Cb175_I_3h_C,Cb175,I,3h,Cb175_I_3h
Cb175_I_6h_A,Cb175,I,6h,Cb175_I_6h
Cb175_I_6h_B,Cb175,I,6h,Cb175_I_6h
Cb175_I_6h_C,Cb175,I,6h,Cb175_I_6h
Cb175_UI_3h_A,Cb175,UI,3h,Cb175_UI_3h
Cb175_UI_3h_B,Cb175,UI,3h,Cb175_UI_3h
Cb175_UI_3h_C,Cb175,UI,3h,Cb175_UI_3h
Cb175_UI_6h_A,Cb175,UI,6h,Cb175_UI_6h
Cb175_UI_6h_B,Cb175,UI,6h,Cb175_UI_6h
Cb175_UI_6h_C,Cb175,UI,6h,Cb175_UI_6h
Cb182_I_3h_A,Cb182,I,3h,Cb182_I_3h
Cb182_I_3h_B,Cb182,I,3h,Cb182_I_3h
Cb182_I_3h_C,Cb182,I,3h,Cb182_I_3h
Cb182_I_6h_A,Cb182,I,6h,Cb182_I_6h
Cb182_I_6h_B,Cb182,I,6h,Cb182_I_6h
Cb182_I_6h_C,Cb182,I,6h,Cb182_I_6h
Cb182_UI_3h_A,Cb182,UI,3h,Cb182_UI_3h
Cb182_UI_3h_B,Cb182,UI,3h,Cb182_UI_3h
Cb182_UI_3h_C,Cb182,UI,3h,Cb182_UI_3h
Cb182_UI_6h_A,Cb182,UI,6h,Cb182_UI_6h
Cb182_UI_6h_B,Cb182,UI,6h,Cb182_UI_6h
Cb182_UI_6h_C,Cb182,UI,6h,Cb182_UI_6h
